GEO_ID,Total,White,Black,NativeAmerican,Asian,HawaiianAPI,Other,Twoplus
6037204910,3184,611,48,101,32,0,1922,470
6037204920,2537,399,38,60,13,2,1554,471
6037205110,3850,442,30,166,38,0,2474,700
6037205120,3858,525,115,105,48,1,2387,677
6037206010,3335,571,171,54,1174,5,943,417
6037206020,5577,1005,1845,4,241,10,2370,102
6037206050,2312,422,127,29,280,4,1063,387
6037206051,2591,1318,284,32,339,6,336,276
6037206052,3296,1101,206,18,1423,8,174,366
6037206053,3261,499,124,60,414,14,1584,566
6037206054,2670,294,28,65,419,0,1484,380
6037206201,2647,697,446,31,781,10,366,316
6037206202,3035,778,546,71,900,15,430,295
6037206301,2074,474,952,50,53,13,298,234
6037206302,1375,357,502,30,66,9,254,157
6037206303,2858,846,1076,72,51,18,542,253
6037207101,3233,607,398,29,1538,3,373,285
